Bil,Peringkat Sekolah,PPD,Kod Sekolah,NamaSekolah,AlamatSurat,PoskodSurat,BandarSurat,Negeri,NoTelefon,NoFax
9512,Rendah,PPD SIMUNJAN,YBB8302,SK SEBUYAU/ENSENGGEI,D/A PEJABAT PELAJARAN DAERAH SIMUNJAN,94800,SIMUNJAN,SARAWAK,TIADA,TIADA
9513,Rendah,PPD SIMUNJAN,YBB8303,SK TUNGKAH DAYAK,D/A PEJABAT PELAJARAN DAERAH SIMUNJAN,94800,SIMUNJAN,SARAWAK,TIADA,TIADA
9514,Rendah,PPD SIMUNJAN,YBB8304,SK SUNGAI ARUS LUMUT,D/A PEJABAT PENDIDIKAN DAERAH SIMUNJAN,94800,SIMUNJAN,SARAWAK,TIADA,TIADA
9515,Rendah,PPD SIMUNJAN,YBB8305,SK TEMIANG,D/A PEJABAT PEDIDIKAN DAERAH SIMUNJAN,94800,SIMUNJAN,SARAWAK,TIADA,TIADA
9516,Rendah,PPD SIMUNJAN,YBB8307,SK NYELITAK,D/A PEJABAT PELAJARAN DAERAH SIMUNJAN,94800,SIMUNJAN,SARAWAK,082803660,082803560
9517,Rendah,PPD SIMUNJAN,YBB8308,SK SUNGAI PINANG,D/A:PEJABAT PELAJARAN DAERAH ,94800,SIMUNJAN,SARAWAK,TIADA,TIADA
9518,Rendah,PPD SIMUNJAN,YBB8309,SK SEMALATONG,D/A PEJABAT PELAJARAN DAERAH SIMUNJAN,94800,SIMUNJAN,SARAWAK,TIADA,TIADA
9519,Rendah,PPD SIMUNJAN,YBB8310,SK PADANG PEDALAI,D/A PEJABAT PELAJARAN DAERAH SIMUNJAN,94800,SIMUNJAN,SARAWAK,082766002,TIADA
9520,Rendah,PPD SAMARAHAN,YBB8311,SK SUNGAI BULU/SENANGEH,"PPD SAMARAHAN,JLN DATO MOHD.MUSA",94300,KOTA SAMARAHAN,SARAWAK,082809124,082809125
9521,Rendah,PPD SIMUNJAN,YBB8312,SK KEPAYANG,D/A PEJABAT PELAJARAN DAERAH SIMUNJAN,94800,SIMUNJAN,SARAWAK,TIADA,TIADA
9522,Rendah,PPD SIMUNJAN,YBB8313,SK KENIONG,D/A PEJABAT PELAJARAN DAERAH SIMUNJAN,94800,SIMUNJAN,SARAWAK,01119897984,TIADA
9523,Rendah,PPD SIMUNJAN,YBB8314,SK MUNGGU LALLANG,D/A : PEJABAT PELAJARAN DAERAH SIMUNJAN,94800,SIMUNJAN,SARAWAK,TIADA,TIADA
9524,Rendah,PPD SIMUNJAN,YBB8315,SK SG LINGKAU,D/A PEJABAT PELAJARAN DAERAH SIMUNJAN,94800,SIMUNJAN,SARAWAK,0105965459,TIADA
9525,Rendah,PPD SAMARAHAN,YBB8316,SK TERASI,"D/A PPD SAMARAHAN, JALAN DATO MOHD MUSA",94300,KOTA SAMARAHAN,SARAWAK,082895626,082896127
9526,Rendah,PPD SIMUNJAN,YBB8317,SK SEKENDU,D/A PEJABAT PENDIDIKAN DAERAH SIMUNJAN,94800,SIMUNJAN,SARAWAK,TIADA,TIADA
9527,Rendah,PPD SIMUNJAN,YBB8319,SK SKITONG/MERANTI,D/A PEJABAT PELAJARAN DAERAH SIMUNJAN ,94800,SIMUNJAN,SARAWAK,TIADA,TIADA
9528,Rendah,PPD SIMUNJAN,YBB8320,SK SUNGAI BA,D/A PEJABAT PELAJARAN DAERAH SIMUNJAN,94800,SIMUNJAN,SARAWAK,TIADA,TIADA
9529,Rendah,PPD SIMUNJAN,YBB8325,SK GUNONG NGELI,D/A PEJABAT PELAJARAN DAERAH SIMUNJAN,94800,SIMUNJAN,SARAWAK,TIADA,TIADA
9530,Rendah,PPD SIMUNJAN,YBB8326,SK SEBANGKOI/MAWANG,D/A PEJABAT PELAJARAN DAERAH SIMUNJAN,94800,SIMUNJAN,SARAWAK,TIADA,TIADA
9531,Rendah,PPD SIMUNJAN,YBB8327,SK TELAGUS/JEROK,D/A PEJABAT PENDIDIKSN DAERAH SIMUNJAN,94800,SIMUNJAN,SARAWAK,082895505,TIADA
9532,Rendah,PPD SIMUNJAN,YBB8328,SK TEGELAM,D/A PEJABAT PENDIDIKAN DAERAH SIMUNJAN,94800,SIMUNJAN,SARAWAK,TIADA,TIADA
9533,Rendah,PPD SIMUNJAN,YBB8329,SK LEPONG EMPLAS,D/A PEJABAT PENDIDIKAN DAERAH SIMUNJAN,94800,SIMUNJAN,SARAWAK,TIADA,TIADA
9534,Rendah,PPD SIMUNJAN,YBB8330,SK BAJONG,D/A PEJABAT PELAJARAN DAERAH SIMUNJAN,94800,SIMUNJAN,SARAWAK,TIADA,TIADA
9535,Rendah,PPD SIMUNJAN,YBB8331,SK MENTU,D/A PEJABAT PELAJARAN DAERAH KECIL SIMUNJAN,94800,SIMUNJAN,SARAWAK,TIADA,TIADA
9536,Rendah,PPD SIMUNJAN,YBB8332,SK MUDING,D/A PEJABAT PELAJARAN DAERAH SIMUNJAN,94800,SIMUNJAN,SARAWAK,TIADA,TIADA
9537,Rendah,PPD SIMUNJAN,YBB8333,SK TUBA,D/A PEJABAT PENDIDIKAN DAERAH SIMUNJAN,94800,SIMUNJAN,SARAWAK,TIADA,TIADA
9538,Rendah,PPD SIMUNJAN,YBB8334,SK BULAN JERAGAM,SK BULAN JERAGAM,94850,SEBUYAU,SARAWAK,TIADA,TIADA
9539,Rendah,PPD SIMUNJAN,YBB8335,SK LUNYING,D/A PEJABAT PELAJARAN DAERAH SIMUNJAN,94800,SIMUNJAN,SARAWAK,TIADA,TIADA
9540,Rendah,PPD TATAU/SEBAUH,YBB9101,SK LABANG,D/A PEJABAT PELAJARAN DAERAH KECIL SEBAUH,97100,SEBAUH,SARAWAK,0109879174,TIADA
9541,Rendah,PPD TATAU/SEBAUH,YBB9102,SK KUALA BINYO,"D/A, PEJABAT PELAJARAN DAERAH SEBAUH",97100,SEBAUH,SARAWAK,TIADA,TIADA
9542,Rendah,PPD TATAU/SEBAUH,YBB9104,SK SG SEBUNGAN,"SK SUNGAI SEBUNGAN, D/A. PEJABAT PELAJARAN DAERAH ",97100,BINTULU,SARAWAK,TIADA,TIADA
9543,Rendah,PPD TATAU/SEBAUH,YBB9105,SK SG GENAAN,"D/A, PEJABAT PELAJARAN DAERAH SEBAUH.",97100,SEBAUH,SARAWAK,TIADA,TIADA
9544,Rendah,PPD TATAU/SEBAUH,YBB9106,SK SG. SENGIAN LABANG,D/A PEJABAT PELAJARAN DAERAH KECIL SEBAUH.,97100,SEBAUH,SARAWAK,TIADA,TIADA
9545,Rendah,PPD TATAU/SEBAUH,YBB9107,SK HERMANUS ASSAN,"PPD SEBAUH, BINTULU",97100,SEBAUH,SARAWAK,TIADA,TIADA
9546,Rendah,PPD TATAU/SEBAUH,YBB9108,SK KUALA KEBULU,D/A PEJABAT PELAJARAN DAERAH SEBAUH.,97100,"SEBAUH, BINTULU",SARAWAK,TIADA,TIADA
9547,Rendah,PPD BINTULU,YBB9109,SK SG SILAS,"D/A, PEJABAT PELAJARAN GABUNGAN BINTULU.",97000,BINTULU,SARAWAK,TIADA,TIADA
9548,Rendah,PPD BINTULU,YBB9110,SK SG. TISANG,"D/A, PEJABAT PELAJARAN GABUNGAN BINTULU.",97000,BINTULU,SARAWAK,TIADA,TIADA
9549,Rendah,PPD BINTULU,YBB9111,SK SG KEM BATU 18,"D/A, PEJABAT PELAJARAN DAERAH BINTULU.",97000,BINTULU,SARAWAK,086477328,086477329
9550,Rendah,PPD BINTULU,YBB9112,SK SG SELAD,D/A KM35 JALAN BINTULU/KUALA TATAU SK SUNGAI SELAD,97000,BINTULU,SARAWAK,0135701380,TIADA
9551,Rendah,PPD BINTULU,YBB9113,SK ULU SEGAN,"D/A PEJABAT PENDIDIKAN DAERAH BINTULU, KM 5 JALAN SULLTAN ISKANDAR",97000,BINTULU,SARAWAK,TIADA,TIADA
9552,Rendah,PPD TATAU/SEBAUH,YBB9114,SK KUALA SIGU,D/A PEJABAT PENDIDIKAN DAERAH  SEBAUH,97100,"SEBAUH, BINTULU",SARAWAK,0198144375,TIADA
9553,Rendah,PPD TATAU/SEBAUH,YBB9201,SK RH TAYAI,"D/A, PEJ. PEL. DAERAH TATAU, JLN KG. DAGANG",97200,TATAU,SARAWAK,086584182,086584182
